Napa Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,19.916,5.069,54.839,Rate is unstable interpret with caution
94508,0,,,Not applicable
94515,28.369,2.552,177.719,Rate is unstable interpret with caution
94558,6.04,1.526,18.514,Rate is unstable interpret with caution
94559,10.274,1.202,39.175,Rate is unstable interpret with caution
94567,0,,,Not applicable
94574,0,,,Not applicable
94576,0,,,Not applicable
94599,0,,,Not applicable
95476,11.134,2.173,35.923,Rate is unstable interpret with caution
California,14.48,14.092,14.877,Rate is stable
Napa,8.97,6.41,20.79,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
