Solano  - by Zip Code 2023,,,,
Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents,,,,Opioid Prescriptions by Patient Location : Age-Adjusted Rate per 1k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
94503,305.954,298.484,313.585,Rate is stable
94510,308.659,302.587,314.86,Rate is stable
94512,8.343,2.273,21.361,Rate may be unstable
94533,424.63,420.065,429.238,Rate is stable
94534,304.584,299.393,309.858,Rate is stable
94535,128.634,100.501,162.988,Rate is stable
94571,520.536,498.529,543.81,Rate is stable
94585,411.361,403.899,418.944,Rate is stable
94589,367.594,360.927,374.379,Rate is stable
94590,457.437,450.658,464.307,Rate is stable
94591,334.75,330.167,339.393,Rate is stable
94592,358.585,312.52,420.024,Rate is stable
95616,247.034,241.497,252.695,Rate is stable
95618,196.641,191.219,202.194,Rate is stable
95620,386.057,377.772,394.506,Rate is stable
95687,351.77,347.539,356.048,Rate is stable
95688,346.685,341.043,352.411,Rate is stable
95690,350.762,319.014,386.911,Rate is stable
95694,376.508,364.442,388.961,Rate is stable
California,295.981,295.818,296.145,Rate is stable
Solano,361.078,359.399,362.764,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Justice - Controlled Substance Utilization Review and Evaluation System (CURES) Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
